"","EyetrackingR","MyVersionPositiveT","MyVersionNegativeT"
"95",-3.01491309935755,0,0
"96",-2.12070034636868,3.09228708696833,-2.300831742694
"97",2.55096052050341,0,0
"98",0,0,0
"99",0,-3.682947537517,-3.682947537517
"100",4.39115382966914,-2.63592133116835,-2.63592133116835
"101",2.26000613853934,0,0
"102",0,0,0
"103",2.25819439102596,-2.62374883916401,-2.62374883916401
"104",0,0,0
"105",-2.92221249102399,0,0
"106",2.10467870398631,0,0
"107",2.48870112455863,2.98730666615107,-2.15307119220985
"108",2.32249316630466,2.48376918359666,2.48376918359666
"109",-2.32249316630466,0,0
"110",2.24061854851023,0,0
"111",0,0,0
"112",0,-2.15606546468913,-3.75928602329733
"113",0,-2.23835351154791,-2.66618548391556
"114",0,2.95246116541819,2.95246116541819
"115",-2.34936050513458,3.01491309935755,2.26000613853934
"116",-5.70425739386201,2.37814981781333,2.37814981781333
"117",0,-4.32591814984935,-4.32591814984935
"118",2.71720587189655,0,0
"119",2.300831742694,2.49722934457863,2.49722934457863
"120",-2.39045721866879,0,0
"121",-2.63592133116835,-2.59239734945615,-2.59239734945615
"122",0,-2.46867163118984,-2.46867163118984
"123",-3.75928602329733,0,0
"124",-2.34211752171288,0,0
"125",-3.14153751378685,2.54958582863865,2.54958582863865
"126",2.56455124279533,2.10840654316489,-2.83449686928711
"127",-2.22458843332556,2.72501795067583,2.72501795067583
"128",0,-3.3593828748507,-3.3593828748507
"129",2.32249316630466,0,0
"130",0,-3.75045884344433,-3.75045884344433
"131",0,-3.10349896840578,-3.70897199874126
"132",-2.3323624036192,0,0
"133",-3.26724208774327,2.72501795067583,2.72501795067583
"134",-5.10362283320741,2.11285007371453,2.11285007371453
"135",0,2.34293620952907,-2.10840654316489
"136",0,-2.300831742694,-2.300831742694
"137",0,2.21388208478914,2.21388208478914
"138",0,0,0
"139",4.08109650307327,0,0
"140",3.03868286007933,-2.63592133116835,-2.63592133116835
"141",-2.34293620952907,0,0
"142",0,2.84234346485477,2.84234346485477
"143",-5.47711989310939,0,0
"144",0,0,0
"145",0,2.40172387489727,2.40172387489727
"146",-2.39045721866879,0,0
"147",2.76171656489186,0,0
"148",-2.82583705660136,2.71227819903726,2.36587185688938
"149",0,0,0
"150",5.10261401698187,2.54958582863865,2.54958582863865
"151",0,2.76217096349785,-3.01491309935755
"152",-2.48870112455863,-2.36587185688938,-2.36587185688938
"153",-4.64283696315272,0,0
"154",3.00792603759119,5.45201036678542,5.45201036678542
"155",2.34200522045872,-2.22330596879834,-2.22330596879834
"156",2.53784908260946,-2.15606546468913,-2.15606546468913
"157",2.47728700484881,-2.47728700484881,-2.47728700484881
"158",2.23835351154791,0,0
"159",-2.10476882661054,0,0
"160",0,-2.32249316630466,-2.32249316630466
"161",-2.62374883916401,-2.36168937857427,-2.36168937857427
"162",0,4.53898773280499,4.53898773280499
"163",0,2.10467870398631,-2.10476882661054
"164",0,0,0
"165",0,2.53784908260946,2.53784908260946
"166",-3.15959662733356,-2.3323624036192,-2.3323624036192
"167",0,-2.78655413649195,-2.78655413649195
"168",0,2.36587185688938,2.36587185688938
"169",0,2.71720587189655,2.23835351154791
"170",-2.63592133116835,2.59239734945615,2.59239734945615
"171",2.91416128417596,0,0
"172",0,0,0
"173",-2.44172026007226,-2.56455124279533,-2.56455124279533
"174",-2.23835351154791,0,0
"175",0,4.29078695732826,2.10840654316489
"176",0,3.01491309935755,3.01491309935755
"177",3.03868286007933,0,0
"178",0,-5.58530327025165,-5.58530327025165
"179",4.27840098511629,0,0
"180",0,2.95246116541819,2.95246116541819
"181",-2.3323624036192,3.10165329535023,-2.24061854851023
"182",2.19016989785258,2.36168937857427,2.36168937857427
"183",0,2.48376918359666,-2.40172387489727
"184",-2.44172026007226,0,0
"185",0,2.10840654316489,2.10840654316489
"186",0,0,0
"187",3.62566247267044,0,0
"188",2.84234346485476,0,0
"189",0,0,0
"190",3.30157514019816,0,0
"191",4.36468484252565,-3.90880679368949,-3.90880679368949
"192",2.19016989785258,0,0
"193",2.59239734945614,-2.37814981781333,-2.37814981781333
"194",0,4.34767268638514,-3.08417457717258
"195",2.82583705660136,-2.36168937857427,-2.36168937857427
"196",-2.96599182814585,2.72501795067583,2.12070034636868
"197",-2.44172026007226,-2.71227819903726,-2.71227819903726
"198",2.09504391599624,3.37778467051957,3.37778467051957
"199",2.32249316630467,0,0
"200",0,-2.20105009346544,-2.20105009346544
"201",0,2.10467870398631,2.10467870398631
"202",0,0,0
"203",-2.2820404859343,3.03868286007933,2.5855200451516
"204",2.36587185688938,3.43410882883403,3.43410882883403
"205",3.07437418830991,2.71669235201072,2.71669235201072
"206",-2.13576869920596,2.44746787719492,2.44172026007226
"207",-2.36168937857427,2.34864408377644,2.34864408377644
"208",2.69016844026656,-2.36587185688938,-2.36587185688938
"209",-2.48870112455863,2.62374883916401,2.62374883916401
"210",2.49722934457863,-2.71720587189655,-2.71720587189655
"211",3.55491479287324,2.72501795067583,2.72501795067583
"212",0,0,0
"213",0,2.92313624008529,2.82583705660136
"214",2.59239734945615,0,0
"215",-3.20925625510572,2.25799302362937,2.15606546468913
"216",3.90880679368949,2.19016989785258,2.19016989785258
"217",0,0,0
"218",0,2.97274440581857,2.97274440581857
"219",0,2.3323624036192,2.3323624036192
"220",0,2.11285007371453,2.11285007371453
"221",3.25409463221557,2.22092957934888,2.22092957934888
"222",-2.300831742694,0,0
"223",2.84234346485477,0,0
"224",-2.43825409136302,-2.82783185437766,-2.82783185437766
"225",0,-2.68152842149629,-2.68152842149629
"226",0,2.37802330742771,2.37802330742771
"227",2.66618548391556,2.25819439102596,2.25819439102596
"228",0,0,0
"229",0,-2.10840654316489,-2.10840654316489
"230",0,-2.32249316630466,-2.32249316630466
"231",0,2.48376918359667,2.34864408377644
"232",3.66631428891691,2.21388208478914,2.21388208478914
"233",2.15606546468913,0,0
"234",2.10476882661054,2.34675230410276,-2.46867163118984
"235",-2.48376918359666,0,0
"236",0,-3.27820169221505,-3.27820169221505
"237",0,2.47728700484881,-2.45506897123473
"238",0,3.37778467051957,-2.2820404859343
"239",2.43825409136302,2.10476882661054,-2.48376918359667
"240",0,0,0
"241",-2.22725860462418,0,0
"242",2.10476882661054,2.36587185688938,2.36587185688938
"243",0,-2.39045721866879,-2.39045721866879
"244",4.15473581025278,0,0
"245",0,-2.13576869920596,-2.13576869920596
"246",0,0,0
"247",0,0,0
"248",3.55902608401044,2.47679816456288,2.47679816456288
"249",0,5.96092969219317,-2.25799302362937
"250",0,2.95246116541819,2.95246116541819
"251",-4.80342279608744,0,0
"252",-3.10165329535023,2.61101699849969,2.15606546468913
"253",0,-3.20954900558896,-3.20954900558896
"254",2.68152842149628,-2.22458843332556,-2.22458843332556
"255",0,0,0
"256",2.10818510677892,2.37802330742771,2.22725860462418
"257",-2.71669235201072,0,0
"258",0,0,0
"259",2.92313624008529,2.89289807700342,2.89289807700342
"260",-2.32249316630466,2.15307119220985,2.15307119220985
"261",0,0,0
"262",0,2.23835351154791,2.23835351154791
"263",0,-2.66618548391556,-2.66618548391556
